state,2015Q2,2015pop
Alabama,207303,4862058
Alaska,54256,736130
Arizona,295445,6816049
Arkansas,122492,2972524
California,2424033,39124308
Colorado,316535,5429368
Connecticut,259661,3593690
Delaware,66150,944664
Florida,883735,20150420
Georgia,496180,10186225
Hawaii,79595,1428650
Idaho,65202,1653347
Illinois,764817,12869625
Indiana,326538,6618616
Iowa,168089,3119552
Kansas,146219,2910710
Kentucky,192874,4424845
Louisiana,252965,4666799
Maine,55137,1331057
Maryland,360969,6008550
Massachusetts,473606,6776251
Michigan,462252,9918381
Minnesota,330782,5487040
Mississippi,106880,2995225
Missouri,287207,6078884
Montana,45799,1031080
Nebraska,112208,1892208
Nevada,140608,2880996
New Hampshire,71632,1330250
New Jersey,573947,8960072
New Mexico,90810,2084090
New York,1444406,19787315
North Carolina,503745,10026169
North Dakota,53686,753317
Ohio,592899,11611559
Oklahoma,181089,3899322
Oregon,225661,4006827
Pennsylvania,677582,12790083
Rhode Island,56323,1056571
South Carolina,196887,4885343
South Dakota,45415,859781
Tennessee,307125,6594129
Texas,1648007,27354011
Utah,146697,2977970
Vermont,29750,626186
Virginia,476919,8374081
Washington,446096,7138029
West Virginia,71123,1847153
Wisconsin,296971,5769285
Wyoming,40170,584861
