"state","X2015Q2","X2015pop","PERCAPGDP","DIFFGPD"
"Alabama",207303,4862058,0.0426368833938221,-146186.54
"Alaska",54256,736130,0.0737043728689226,-299233.54
"Arizona",295445,6816049,0.0433454923812901,-58044.54
"Arkansas",122492,2972524,0.0412080777144272,-230997.54
"California",2424033,39124308,0.0619572108470264,2070543.46
"Colorado",316535,5429368,0.0583005241125671,-36954.54
"Connecticut",259661,3593690,0.0722547019915463,-93828.54
"Delaware",66150,944664,0.0700248977414192,-287339.54
"Florida",883735,20150420,0.043856902238266,530245.46
"Georgia",496180,10186225,0.0487108816072686,142690.46
"Hawaii",79595,1428650,0.0557134357610331,-273894.54
"Idaho",65202,1653347,0.0394363675622843,-288287.54
"Illinois",764817,12869625,0.0594280719135173,411327.46
"Indiana",326538,6618616,0.0493362962891336,-26951.54
"Iowa",168089,3119552,0.0538824164495415,-185400.54
"Kansas",146219,2910710,0.0502348224316404,-207270.54
"Kentucky",192874,4424845,0.043588871474594,-160615.54
"Louisiana",252965,4666799,0.0542052486083073,-100524.54
"Maine",55137,1331057,0.0414234702195323,-298352.54
"Maryland",360969,6008550,0.0600758918541079,7479.46000000002
"Massachusetts",473606,6776251,0.069892039123108,120116.46
"Michigan",462252,9918381,0.046605590166379,108762.46
"Minnesota",330782,5487040,0.0602842333935966,-22707.54
"Mississippi",106880,2995225,0.0356834628450283,-246609.54
"Missouri",287207,6078884,0.0472466656708699,-66282.54
"Montana",45799,1031080,0.0444184738332622,-307690.54
"Nebraska",112208,1892208,0.0593000346684931,-241281.54
"Nevada",140608,2880996,0.0488053437075234,-212881.54
"New Hampshire",71632,1330250,0.0538485247133997,-281857.54
"New Jersey",573947,8960072,0.0640560700851511,220457.46
"New Mexico",90810,2084090,0.0435729742957358,-262679.54
"New York",1444406,19787315,0.0729965637076076,1090916.46
"North Carolina",503745,10026169,0.0502430190434652,150255.46
"North Dakota",53686,753317,0.0712661469208846,-299803.54
"Ohio",592899,11611559,0.0510611021310747,239409.46
"Oklahoma",181089,3899322,0.0464411505384782,-172400.54
"Oregon",225661,4006827,0.0563191273294305,-127828.54
"Pennsylvania",677582,12790083,0.0529771386159105,324092.46
"Rhode Island",56323,1056571,0.0533073499083355,-297166.54
"South Carolina",196887,4885343,0.0403015714556788,-156602.54
"South Dakota",45415,859781,0.0528215906143541,-308074.54
"Tennessee",307125,6594129,0.0465755219529372,-46364.54
"Texas",1648007,27354011,0.0602473618951166,1294517.46
"Utah",146697,2977970,0.0492607380195234,-206792.54
"Vermont",29750,626186,0.0475098453175255,-323739.54
"Virginia",476919,8374081,0.056951801636502,123429.46
"Washington",446096,7138029,0.0624956833321916,92606.46
"West Virginia",71123,1847153,0.0385041195829474,-282366.54
"Wisconsin",296971,5769285,0.0514744894731323,-56518.54
"Wyoming",40170,584861,0.0686829862138183,-313319.54
